previous_crop,crop,soil_type,temperature,humidity,yield,market_price,nitrogen,phosphorus,potassium,ph
groundnut,cotton,low_nitrogen,34.0,56,3.73,6318,82,20,35,5.9
tomato,maize,high_nitrogen,21.9,69,5.92,2004,63,54,59,6.4
wheat,rice,high_nitrogen,34.9,61,5.15,2578,64,31,30,6.0
sugarcane,potato,balanced,27.0,55,10.29,873,61,47,25,7.4
sugarcane,rice,high_nitrogen,27.5,89,4.79,2101,69,39,49,5.8
tomato,rice,low_nitrogen,23.9,66,4.61,1873,64,41,34,6.2
rice,tomato,high_nitrogen,22.9,80,14.8,1108,65,37,45,6.6
groundnut,sugarcane,balanced,24.3,79,30.64,488,85,29,58,6.2
groundnut,rice,high_nitrogen,25.9,77,5.27,1803,66,27,55,5.6
cotton,maize,high_nitrogen,20.3,42,6.04,1771,30,40,34,5.9
wheat,rice,high_nitrogen,34.5,71,4.78,2413,44,24,44,5.8
sugarcane,cotton,balanced,26.0,45,4.24,7071,51,49,50,6.4
potato,wheat,high_nitrogen,22.7,72,4.66,2197,55,20,49,6.8
groundnut,tomato,balanced,31.0,87,15.5,1276,89,52,20,7.2
sugarcane,sugarcane,balanced,25.7,84,30.24,200,51,38,49,6.6
wheat,cotton,balanced,27.6,80,4.6,6582,61,27,44,5.6
cotton,tomato,low_nitrogen,31.7,45,15.17,1665,25,44,54,6.2
maize,wheat,high_nitrogen,27.6,69,4.22,2038,66,36,59,6.2
maize,rice,high_nitrogen,24.8,58,5.23,2460,42,55,52,7.0
maize,wheat,balanced,24.2,60,5.11,2020,42,51,21,7.3
groundnut,wheat,low_nitrogen,27.4,71,4.43,2299,68,42,29,6.6
tomato,sugarcane,balanced,21.3,43,30.68,200,70,39,33,6.9
groundnut,tomato,high_nitrogen,26.0,55,15.15,1768,90,34,30,6.3
cotton,maize,high_nitrogen,28.5,56,6.11,1595,20,28,32,6.9
potato,rice,high_nitrogen,28.9,56,5.3,2471,41,28,57,6.6
sugarcane,groundnut,low_nitrogen,27.2,85,3.41,6083,64,32,20,7.1
tomato,wheat,balanced,26.5,80,5.28,2416,45,24,57,5.7
maize,groundnut,low_nitrogen,20.4,48,3.76,5794,63,23,51,7.0
cotton,cotton,low_nitrogen,27.1,80,3.88,6971,26,32,42,7.5
maize,maize,high_nitrogen,22.0,79,5.73,1727,55,24,34,6.8
wheat,rice,high_nitrogen,26.1,90,4.91,2471,55,56,43,6.8
sugarcane,rice,high_nitrogen,34.1,68,4.91,2028,63,24,40,6.8
potato,sugarcane,high_nitrogen,23.6,70,30.2,200,69,23,32,6.7
maize,tomato,high_nitrogen,20.4,44,14.85,1897,50,34,41,6.4
cotton,rice,high_nitrogen,20.5,49,4.92,2285,29,49,52,6.2
sugarcane,wheat,low_nitrogen,29.0,90,4.36,2082,51,29,31,5.7
rice,rice,low_nitrogen,20.1,90,4.41,2033,63,26,22,7.1
maize,groundnut,low_nitrogen,31.7,75,3.34,5867,61,58,36,6.2
groundnut,potato,low_nitrogen,29.0,63,10.05,973,81,31,53,6.5
wheat,wheat,high_nitrogen,31.9,45,4.45,2594,42,55,22,6.2
tomato,tomato,balanced,34.9,77,15.69,1762,40,26,59,6.7
wheat,groundnut,high_nitrogen,33.2,85,3.28,6077,61,40,34,7.0
wheat,potato,low_nitrogen,32.8,68,9.77,1179,68,28,46,7.5
groundnut,rice,balanced,21.3,68,5.65,2059,80,37,59,6.2
sugarcane,sugarcane,high_nitrogen,28.6,52,30.01,200,57,42,56,5.6
groundnut,groundnut,low_nitrogen,22.7,40,3.77,5473,83,43,22,5.7
cotton,rice,high_nitrogen,34.8,75,5.3,2449,35,49,32,5.8
potato,tomato,low_nitrogen,24.2,89,14.81,1111,40,42,23,5.5
potato,wheat,high_nitrogen,30.2,88,4.46,2402,68,44,28,5.5
maize,groundnut,low_nitrogen,24.4,47,3.23,5630,61,35,42,7.3
groundnut,tomato,balanced,31.2,90,15.33,1680,84,58,38,5.6
wheat,wheat,high_nitrogen,29.2,68,4.46,2640,48,48,22,5.9
groundnut,wheat,low_nitrogen,24.4,58,4.3,2324,84,30,29,6.8
maize,wheat,low_nitrogen,29.3,63,4.5,2112,57,26,60,6.2
rice,potato,low_nitrogen,28.8,45,9.95,1434,63,34,33,6.0
maize,tomato,high_nitrogen,33.9,81,15.29,1822,58,43,50,6.6
maize,tomato,balanced,30.9,51,15.41,1585,61,44,43,7.1
sugarcane,cotton,balanced,30.9,75,4.4,6403,50,55,29,7.4
cotton,tomato,balanced,27.8,83,15.46,1496,30,24,24,7.5
wheat,maize,low_nitrogen,20.8,72,6.12,1496,47,26,46,6.5
sugarcane,sugarcane,low_nitrogen,32.9,69,30.19,200,57,41,34,6.4
cotton,potato,low_nitrogen,21.7,57,10.13,835,37,34,24,6.5
sugarcane,cotton,low_nitrogen,26.1,75,4.13,6334,69,44,45,6.9
rice,potato,low_nitrogen,32.8,88,9.88,1264,68,46,33,6.5
groundnut,groundnut,low_nitrogen,21.2,69,3.63,5823,84,44,25,6.2
groundnut,sugarcane,balanced,24.1,79,30.26,615,63,30,53,6.7
groundnut,sugarcane,low_nitrogen,33.6,50,30.24,552,89,54,28,5.9
rice,groundnut,low_nitrogen,29.2,54,3.29,5350,49,42,39,7.1
wheat,sugarcane,balanced,28.2,64,30.31,453,56,34,54,6.9
tomato,tomato,low_nitrogen,28.3,87,15.27,1608,64,34,49,5.7
wheat,potato,low_nitrogen,30.8,68,10.23,1477,64,51,54,5.7
rice,cotton,balanced,33.3,48,4.48,6927,61,21,21,6.6
sugarcane,sugarcane,high_nitrogen,25.3,87,30.26,573,55,59,25,7.0
rice,sugarcane,low_nitrogen,26.0,77,29.81,486,44,60,54,7.2
maize,tomato,high_nitrogen,27.3,61,14.72,1636,62,40,47,6.1
groundnut,maize,balanced,26.1,64,6.2,1872,83,57,43,6.7
sugarcane,groundnut,low_nitrogen,32.5,72,3.69,6024,56,36,39,6.0
tomato,cotton,high_nitrogen,28.8,75,4.29,6684,65,59,28,7.1
tomato,tomato,balanced,27.9,50,15.72,1642,44,20,24,6.9
tomato,groundnut,low_nitrogen,34.1,79,3.43,5706,55,23,32,6.1
cotton,potato,low_nitrogen,26.0,46,9.9,902,23,41,30,6.2
tomato,potato,low_nitrogen,26.2,42,10.07,982,44,50,51,6.6
tomato,tomato,high_nitrogen,32.8,72,15.08,1304,70,23,49,6.8
sugarcane,rice,high_nitrogen,31.7,79,4.91,2290,56,56,43,7.4
cotton,maize,high_nitrogen,28.9,44,6.28,1958,37,21,36,6.7
sugarcane,maize,balanced,31.0,62,6.45,1748,41,51,37,6.1
potato,rice,high_nitrogen,21.7,64,5.2,2199,42,22,32,7.1
cotton,potato,balanced,25.1,76,10.25,823,29,42,29,6.6
rice,maize,balanced,31.8,42,6.22,1434,56,23,53,6.1
wheat,wheat,low_nitrogen,23.4,59,4.38,2124,47,55,46,5.7
rice,sugarcane,low_nitrogen,21.9,62,30.08,200,53,50,39,6.6
cotton,tomato,low_nitrogen,21.1,79,15.12,1794,24,49,21,6.5
sugarcane,cotton,balanced,28.2,73,4.23,6729,55,34,22,7.1
cotton,tomato,balanced,22.1,87,15.35,1707,25,53,30,5.9
cotton,maize,high_nitrogen,26.3,60,6.16,1690,38,47,26,6.3
tomato,cotton,low_nitrogen,34.8,71,3.76,6595,67,51,26,5.7
sugarcane,tomato,low_nitrogen,23.8,87,14.89,1494,68,45,31,6.2
groundnut,wheat,low_nitrogen,20.4,47,4.43,2332,64,57,50,7.1
rice,sugarcane,low_nitrogen,21.6,62,29.97,251,67,25,52,6.5
sugarcane,cotton,high_nitrogen,22.5,60,4.29,6318,43,59,40,6.9
cotton,sugarcane,high_nitrogen,24.6,80,29.79,413,25,38,30,6.4
tomato,potato,low_nitrogen,25.9,56,9.92,1329,47,59,48,6.3
sugarcane,wheat,low_nitrogen,28.3,87,4.51,2349,49,23,47,7.5
sugarcane,cotton,high_nitrogen,24.2,78,3.79,6487,46,55,48,6.6
cotton,sugarcane,high_nitrogen,21.4,74,30.03,685,25,38,27,5.7
groundnut,cotton,balanced,33.2,83,4.71,6905,90,53,26,7.3
wheat,wheat,low_nitrogen,24.4,56,4.56,2387,46,57,31,7.0
potato,rice,high_nitrogen,29.9,48,5.05,2539,51,49,32,6.1
potato,tomato,low_nitrogen,24.0,82,15.12,1141,58,42,33,6.9
wheat,potato,low_nitrogen,33.6,57,10.04,1292,53,59,35,5.8
maize,sugarcane,balanced,33.9,51,30.2,308,60,45,34,6.9
wheat,rice,high_nitrogen,30.7,83,4.79,2249,43,20,36,7.0
groundnut,tomato,high_nitrogen,21.4,74,15.14,1249,80,47,58,6.8
rice,maize,low_nitrogen,30.0,67,5.75,1827,64,34,51,7.2
groundnut,maize,low_nitrogen,25.8,66,5.86,1781,73,22,59,5.6
rice,cotton,balanced,26.9,69,4.75,6577,61,47,32,5.6
wheat,sugarcane,low_nitrogen,34.8,48,29.74,200,59,23,46,6.1
cotton,groundnut,low_nitrogen,27.6,44,3.23,5555,36,23,40,6.3
groundnut,cotton,low_nitrogen,24.7,90,4.13,6392,64,33,60,7.2
cotton,groundnut,balanced,33.0,49,4.07,6039,36,38,36,5.8
tomato,maize,balanced,21.9,78,6.76,2126,70,52,51,7.0
groundnut,rice,high_nitrogen,31.2,84,5.09,2456,68,35,22,6.8
maize,groundnut,low_nitrogen,27.7,80,3.22,6009,45,34,36,7.4
rice,tomato,balanced,22.9,73,15.48,1302,64,26,29,5.9
tomato,potato,low_nitrogen,34.5,45,9.87,1357,55,55,57,5.5
wheat,tomato,high_nitrogen,28.2,80,14.75,1429,70,59,53,6.6
tomato,cotton,high_nitrogen,31.1,72,4.03,6324,47,28,44,7.0
sugarcane,potato,low_nitrogen,21.0,53,10.02,1289,54,50,43,6.3
maize,sugarcane,low_nitrogen,24.2,68,30.05,200,43,33,31,6.4
tomato,wheat,high_nitrogen,34.2,77,4.24,2547,68,36,46,7.3
wheat,potato,low_nitrogen,31.1,44,9.77,980,68,56,25,7.0
cotton,groundnut,low_nitrogen,29.8,45,3.28,5838,38,53,21,6.4
maize,cotton,high_nitrogen,20.8,74,4.16,6734,56,57,22,6.8
sugarcane,maize,high_nitrogen,21.2,81,6.18,1881,46,23,57,6.1
potato,sugarcane,low_nitrogen,28.8,71,30.11,200,55,23,58,7.0
tomato,groundnut,low_nitrogen,30.4,44,3.79,5730,41,31,52,6.8
sugarcane,cotton,low_nitrogen,28.1,53,4.08,6577,63,50,57,5.9
sugarcane,potato,balanced,27.3,57,10.55,1589,55,24,40,5.7
potato,cotton,high_nitrogen,24.3,62,3.85,7057,47,21,56,5.7
rice,wheat,balanced,21.3,53,4.77,2596,48,38,58,6.7
groundnut,tomato,balanced,33.1,59,15.27,1132,76,56,43,6.3
tomato,wheat,balanced,34.8,54,4.96,2317,56,52,51,5.6
tomato,cotton,high_nitrogen,25.9,67,4.22,7063,40,23,25,6.9
tomato,maize,high_nitrogen,30.8,66,6.24,1922,48,24,35,7.5
sugarcane,maize,high_nitrogen,29.4,45,5.9,1861,48,20,25,5.6
tomato,rice,high_nitrogen,34.5,66,5.04,2489,58,36,43,7.4
maize,cotton,high_nitrogen,21.2,52,3.94,6929,62,46,45,6.8
wheat,tomato,balanced,34.5,66,15.65,1661,45,44,27,7.2
sugarcane,groundnut,balanced,27.9,58,4.12,5303,50,37,25,7.2
rice,wheat,low_nitrogen,24.6,41,4.24,2622,51,24,42,6.3
groundnut,maize,high_nitrogen,34.7,56,6.0,1876,60,57,55,6.7
maize,sugarcane,high_nitrogen,23.6,72,29.95,284,59,51,35,6.9
maize,maize,high_nitrogen,33.3,48,5.79,1474,66,57,59,7.0
wheat,groundnut,low_nitrogen,24.7,88,3.31,5420,57,37,32,6.5
tomato,rice,high_nitrogen,33.3,85,4.91,2493,70,26,40,5.6
tomato,wheat,low_nitrogen,26.0,47,4.79,2048,66,26,51,5.8
cotton,potato,low_nitrogen,31.9,62,10.23,1086,22,34,39,6.7
tomato,cotton,balanced,22.3,56,4.58,6470,40,31,22,6.5
cotton,rice,low_nitrogen,26.9,84,4.5,2208,37,38,58,7.0
tomato,tomato,balanced,23.0,56,15.53,1177,40,57,33,6.0
rice,tomato,high_nitrogen,28.7,79,14.73,1756,58,50,46,6.8
maize,groundnut,low_nitrogen,27.5,40,3.25,5839,67,50,50,5.9
potato,groundnut,low_nitrogen,21.7,57,3.47,6017,43,30,27,6.6
cotton,maize,high_nitrogen,25.7,89,5.92,1768,39,29,49,5.7
maize,rice,high_nitrogen,31.1,81,5.24,1925,52,44,29,7.2
maize,potato,balanced,32.4,86,10.66,825,52,24,53,6.6
tomato,tomato,balanced,26.2,83,15.32,1670,63,44,21,7.3
rice,wheat,balanced,31.9,48,5.23,2691,62,45,50,5.6
groundnut,tomato,low_nitrogen,21.0,80,14.7,1828,89,43,23,6.3
cotton,potato,low_nitrogen,33.6,74,9.86,1285,37,59,28,6.5
groundnut,rice,high_nitrogen,31.0,61,5.28,2210,74,29,41,5.6
tomato,cotton,low_nitrogen,21.0,67,3.86,6783,62,23,48,7.4
sugarcane,maize,high_nitrogen,33.5,80,5.89,1919,58,39,59,6.2
maize,potato,low_nitrogen,28.2,57,9.8,1064,50,42,26,7.3
groundnut,potato,low_nitrogen,26.4,79,9.98,1240,89,40,32,6.2
tomato,maize,high_nitrogen,21.6,66,6.14,1516,69,31,59,6.7
tomato,wheat,low_nitrogen,21.3,54,4.62,2552,54,52,56,7.2
cotton,tomato,high_nitrogen,31.3,81,15.0,1894,23,20,25,6.3
tomato,rice,high_nitrogen,27.6,65,4.71,2503,44,22,21,5.9
cotton,tomato,high_nitrogen,27.3,55,15.18,1131,35,59,43,7.2
potato,tomato,high_nitrogen,29.6,69,15.0,1487,57,53,60,5.9
cotton,potato,low_nitrogen,31.6,73,9.77,1234,35,50,29,6.6
wheat,rice,high_nitrogen,24.1,63,4.87,1897,61,40,41,6.2
potato,wheat,low_nitrogen,34.2,54,4.21,2522,43,30,32,7.1
maize,wheat,balanced,24.8,67,4.81,2613,66,36,29,6.6
groundnut,rice,high_nitrogen,34.7,68,4.96,2418,66,46,24,6.6
maize,wheat,high_nitrogen,33.1,83,4.3,2709,63,39,37,6.2
rice,maize,balanced,33.5,79,6.46,2088,58,52,26,7.4
sugarcane,groundnut,low_nitrogen,21.9,70,3.43,5725,59,40,33,7.2
tomato,sugarcane,high_nitrogen,20.8,53,29.94,200,57,55,30,7.5
tomato,groundnut,low_nitrogen,24.5,62,3.6,5778,70,35,56,7.4
maize,rice,balanced,24.0,46,5.63,2489,58,50,36,5.9
tomato,wheat,high_nitrogen,31.9,62,4.23,2204,64,30,60,5.7
potato,wheat,balanced,25.2,68,4.71,2437,49,48,40,5.9
tomato,wheat,high_nitrogen,21.6,75,4.56,2655,45,32,47,5.8
sugarcane,wheat,low_nitrogen,26.0,40,4.48,2494,57,23,22,7.4
potato,cotton,balanced,25.9,43,4.76,6346,67,36,44,5.8
tomato,maize,low_nitrogen,34.0,68,5.73,2168,66,52,54,6.0
tomato,potato,low_nitrogen,30.7,71,9.78,1549,56,22,45,6.7
sugarcane,potato,low_nitrogen,34.9,61,10.02,1483,52,46,24,7.2
potato,tomato,balanced,22.0,88,15.38,1689,54,53,31,5.5
potato,potato,low_nitrogen,34.3,46,10.2,1527,54,56,22,6.0
wheat,wheat,high_nitrogen,23.3,56,4.66,2066,56,35,47,7.1
wheat,tomato,low_nitrogen,22.4,46,15.06,1703,70,31,31,6.5
groundnut,maize,high_nitrogen,21.9,43,5.96,1886,60,35,57,7.0
groundnut,maize,high_nitrogen,20.7,83,6.11,2134,76,51,35,6.6
tomato,sugarcane,high_nitrogen,31.5,42,30.29,438,66,59,31,7.5
tomato,sugarcane,low_nitrogen,24.5,75,30.23,200,68,33,30,7.1
sugarcane,wheat,high_nitrogen,21.8,50,4.71,2102,50,44,26,6.1
cotton,tomato,low_nitrogen,30.2,68,15.07,1148,31,38,48,6.3
maize,sugarcane,low_nitrogen,33.1,40,30.06,200,40,32,26,7.5
wheat,maize,low_nitrogen,25.4,76,6.23,1726,52,56,46,5.7
potato,wheat,balanced,21.4,42,4.83,2174,45,54,53,7.3
sugarcane,cotton,high_nitrogen,24.2,70,3.78,6623,40,31,54,6.8
cotton,tomato,balanced,26.9,44,15.58,1705,21,32,46,6.7
tomato,rice,high_nitrogen,24.7,67,5.19,2083,61,24,20,6.6
wheat,tomato,balanced,27.5,46,15.33,1370,59,45,48,6.1
potato,rice,high_nitrogen,28.7,90,4.83,2039,51,59,35,7.2
maize,sugarcane,low_nitrogen,24.7,81,30.08,401,40,24,54,6.3
cotton,groundnut,low_nitrogen,20.8,60,3.31,5509,38,35,27,6.6
maize,tomato,high_nitrogen,33.1,45,14.71,1589,52,30,60,5.7
wheat,tomato,balanced,32.9,52,15.38,1127,59,48,55,6.7
groundnut,maize,high_nitrogen,23.4,79,5.82,2107,69,30,21,7.5
wheat,maize,balanced,32.9,44,6.54,2036,46,59,60,6.3
tomato,wheat,low_nitrogen,29.2,47,4.69,2423,68,53,57,6.2
sugarcane,groundnut,low_nitrogen,34.2,89,3.74,5845,64,34,36,7.1
rice,sugarcane,balanced,32.1,86,30.33,200,61,44,27,5.8
tomato,sugarcane,balanced,28.4,62,30.27,338,65,54,29,7.0
maize,wheat,balanced,23.7,58,5.08,2727,66,42,42,5.6
sugarcane,groundnut,low_nitrogen,22.7,74,3.44,5921,41,43,20,7.4
groundnut,wheat,low_nitrogen,20.3,74,4.7,2224,84,24,50,6.0
wheat,cotton,balanced,28.8,83,4.38,6791,61,37,29,7.2
tomato,potato,low_nitrogen,32.5,44,9.97,1565,56,31,35,6.9
wheat,tomato,balanced,32.7,47,15.38,1363,51,29,42,6.5
potato,potato,low_nitrogen,21.6,56,10.13,1559,48,48,36,6.6
potato,groundnut,balanced,22.0,55,4.08,5691,63,32,38,6.6
rice,sugarcane,balanced,21.0,59,30.48,200,55,57,33,6.9
maize,potato,low_nitrogen,20.3,42,10.24,974,59,41,25,6.1
groundnut,groundnut,low_nitrogen,28.5,79,3.53,5338,80,45,28,6.2
maize,rice,high_nitrogen,21.4,68,4.96,2325,62,31,53,6.2
wheat,cotton,balanced,32.9,74,4.48,7006,69,53,30,7.1
wheat,sugarcane,balanced,28.4,66,30.38,447,58,29,29,6.7
wheat,potato,low_nitrogen,33.7,79,10.21,1266,69,29,48,7.4
tomato,wheat,high_nitrogen,27.2,41,4.39,2482,56,53,36,5.9
potato,rice,high_nitrogen,31.6,80,5.27,2539,55,51,23,5.7
sugarcane,sugarcane,high_nitrogen,22.7,86,30.08,307,40,24,20,5.6
maize,potato,low_nitrogen,29.8,72,10.24,1465,70,40,34,7.0
cotton,rice,high_nitrogen,23.1,89,4.83,2258,33,36,27,6.1
maize,potato,balanced,29.5,84,10.48,848,66,32,47,6.5
groundnut,sugarcane,high_nitrogen,23.4,71,29.72,226,61,29,21,6.1
cotton,cotton,low_nitrogen,23.3,87,3.99,6388,33,24,20,6.7
maize,wheat,low_nitrogen,34.8,86,4.61,2697,55,22,27,5.6
sugarcane,wheat,balanced,30.0,82,4.79,2025,51,25,46,5.6
groundnut,groundnut,low_nitrogen,24.0,86,3.25,6099,90,49,25,7.3
cotton,groundnut,low_nitrogen,21.3,44,3.71,5778,31,52,24,7.0
groundnut,wheat,low_nitrogen,23.6,90,4.3,2144,80,40,44,5.7
potato,wheat,low_nitrogen,27.9,41,4.78,2141,68,26,20,7.3
rice,cotton,low_nitrogen,27.2,49,3.97,6939,49,28,39,6.4
rice,rice,low_nitrogen,20.7,90,4.64,1919,64,56,50,6.2
maize,rice,high_nitrogen,23.1,43,5.08,1905,47,37,50,7.3
rice,groundnut,balanced,33.7,62,4.23,5414,52,36,38,6.2
groundnut,cotton,low_nitrogen,23.7,69,4.25,6857,78,28,44,7.1
wheat,maize,low_nitrogen,22.2,64,5.91,1928,59,21,49,6.2
maize,potato,low_nitrogen,25.9,76,9.76,1382,65,52,42,6.1
groundnut,sugarcane,high_nitrogen,20.4,45,30.11,264,62,27,42,7.0
maize,rice,high_nitrogen,22.6,89,4.91,2469,63,58,50,6.5
groundnut,cotton,high_nitrogen,21.7,61,4.13,6817,88,21,50,6.4
maize,maize,low_nitrogen,23.2,80,6.2,1716,47,29,34,6.9
wheat,wheat,low_nitrogen,28.1,69,4.6,2062,68,26,28,7.2
tomato,rice,high_nitrogen,28.0,62,5.17,2292,40,51,53,7.4
maize,rice,low_nitrogen,31.7,63,4.67,2344,50,59,39,6.3
tomato,groundnut,low_nitrogen,34.3,60,3.62,5617,45,33,40,6.4
groundnut,maize,low_nitrogen,33.5,49,5.99,1744,75,59,58,5.7
cotton,rice,high_nitrogen,31.6,56,4.91,2380,40,37,34,5.7
cotton,rice,high_nitrogen,22.8,77,5.01,2050,21,36,21,5.5
maize,sugarcane,balanced,28.6,47,30.41,678,48,45,60,7.2
wheat,groundnut,low_nitrogen,32.1,77,3.22,5532,40,32,54,6.2
cotton,tomato,balanced,34.1,64,15.48,1852,36,45,49,5.5
sugarcane,wheat,low_nitrogen,32.2,68,4.25,2676,65,43,27,6.8
cotton,cotton,low_nitrogen,34.4,72,4.13,7077,36,53,49,6.6
potato,tomato,balanced,34.3,47,15.54,1310,43,60,53,5.9
wheat,cotton,high_nitrogen,31.0,88,3.7,6813,55,35,33,6.1
rice,groundnut,low_nitrogen,30.6,85,3.32,5638,45,46,21,6.6
groundnut,groundnut,low_nitrogen,26.0,42,3.54,5994,68,46,58,6.9
rice,maize,high_nitrogen,32.0,90,5.84,1663,47,47,21,7.0
sugarcane,tomato,balanced,21.6,56,15.67,1695,55,43,26,5.5
maize,maize,low_nitrogen,24.4,50,5.74,1440,58,36,47,6.9
tomato,wheat,high_nitrogen,21.9,62,4.73,2621,66,38,53,6.4
groundnut,groundnut,low_nitrogen,34.1,53,3.79,5681,69,49,36,6.5
cotton,cotton,low_nitrogen,28.2,62,4.12,6599,26,29,58,5.7
wheat,potato,low_nitrogen,27.2,46,10.25,1032,43,42,56,6.2
cotton,wheat,low_nitrogen,30.6,42,4.61,2475,38,45,28,6.9
