crop_type,soil_type,N,P,K,pH,rainfall_mm,temperature_c,humidity,yield_per_acre
Rice,Black,8.3,115.7,162.3,5.73,1215.2,34.0,23.8,3.9
Rice,Red,128.8,11.6,78.0,7.13,1307.5,42.3,72.7,7.59
Rice,Clay,161.2,103.2,116.8,4.64,2046.9,40.8,70.1,5.36
Rice,Loamy,192.4,136.3,43.2,4.35,341.9,8.7,27.6,2.75
Rice,Sandy,169.8,8.4,163.8,5.41,383.6,35.9,70.3,3.54
Rice,Sandy,12.6,65.6,193.7,6.74,1116.3,30.7,66.1,4.24
Rice,Loamy,156.4,54.4,186.5,8.29,1129.6,38.0,80.4,8.66
Rice,Loamy,78.7,82.5,101.8,5.95,814.3,12.0,24.3,6.91
Rice,Laterite,190.4,88.1,128.2,6.24,803.7,21.1,73.8,4.72
Rice,Black,189.5,118.3,27.1,8.65,2438.2,47.8,24.5,3.09
Rice,Clay,27.8,25.7,153.5,7.09,342.7,11.4,76.1,6.25
Rice,Alluvial,82.3,134.3,33.6,6.57,659.7,31.3,89.1,9.62
Rice,Laterite,197.3,114.2,78.4,4.42,1965.2,30.3,53.9,4.94
Rice,Alluvial,69.4,68.0,54.5,6.03,1471.5,37.6,81.4,17.92
Rice,Clay,118.8,144.5,78.1,5.43,2184.6,16.9,97.1,8.22
Rice,Black,195.7,85.6,67.9,4.22,2319.1,44.8,40.2,4.4
Rice,Laterite,127.7,105.9,93.6,7.14,1502.4,44.0,23.6,4.79
Rice,Black,191.9,13.4,81.9,4.53,905.6,14.8,71.7,4.71
Rice,Black,20.2,146.3,197.3,7.49,1386.6,20.4,85.1,3.26
Rice,Black,57.8,24.3,19.9,8.7,1099.9,31.2,93.5,7.23
Rice,Loamy,156.6,74.7,197.1,5.88,1899.0,23.7,86.3,8.25
Rice,Loamy,168.5,73.0,85.9,5.37,235.3,42.6,85.0,8.96
Rice,Sandy,152.6,59.8,52.0,5.03,703.5,19.0,36.6,8.2
Rice,Loamy,136.0,94.6,74.8,4.57,1711.8,28.8,81.8,12.32
Rice,Red,193.8,17.8,159.4,6.95,1252.1,24.8,82.8,5.32
Rice,Red,142.3,35.9,31.6,4.07,941.4,31.6,51.4,10.79
Rice,Black,111.8,70.4,182.5,5.49,1356.6,35.9,83.7,8.91
Rice,Alluvial,185.7,76.4,55.4,6.3,2452.1,27.7,46.3,7.73
Rice,Clay,109.8,71.7,119.0,6.0,1774.4,15.2,75.7,9.63
Rice,Loamy,179.9,73.7,135.2,4.86,561.5,9.6,33.5,3.0
Rice,Sandy,112.0,82.5,74.4,8.47,409.0,21.2,45.7,5.24
Rice,Alluvial,160.9,96.0,20.9,8.37,2310.1,10.4,42.2,5.8
Rice,Sandy,197.3,82.8,185.2,5.18,1923.9,29.3,77.6,5.33
Rice,Alluvial,12.2,41.6,144.1,8.48,1328.0,29.3,28.6,7.33
Rice,Laterite,25.4,111.9,40.5,6.82,2117.7,11.6,62.8,1.8
Rice,Loamy,178.7,91.1,137.4,7.95,1296.3,11.5,63.0,6.94
Rice,Loamy,115.1,59.9,70.8,8.5,1558.1,17.8,59.9,13.82
Rice,Red,123.1,39.4,24.8,4.76,690.3,14.4,34.9,6.31
Rice,Laterite,169.3,12.5,8.6,7.48,2493.4,43.9,66.1,2.78
Rice,Clay,173.8,123.5,55.3,4.85,1704.7,45.2,64.5,4.98
Rice,Black,45.0,145.4,143.6,5.0,1867.0,29.2,76.6,5.07
Rice,Red,61.3,89.3,35.1,6.41,1378.2,10.1,46.9,6.49
Rice,Sandy,5.5,21.9,97.3,7.03,2006.3,12.3,88.1,4.51
Rice,Black,193.2,23.0,147.5,8.69,535.0,10.7,79.3,5.0
Rice,Clay,160.1,34.2,36.9,4.82,2055.0,34.6,61.8,11.8
Rice,Black,66.7,90.3,138.2,6.26,1813.1,44.0,69.9,3.16
Rice,Loamy,50.3,135.4,79.9,6.72,2275.5,33.0,29.4,6.78
Rice,Red,69.9,110.9,140.3,4.83,2208.7,27.8,79.3,5.44
Rice,Clay,150.1,9.9,116.1,7.81,2204.2,21.7,85.7,6.89
Rice,Laterite,78.9,71.3,122.8,6.51,1395.7,27.5,52.7,8.75
Rice,Alluvial,54.1,55.1,40.4,8.54,1500.1,24.0,57.0,16.98
Rice,Red,124.9,137.2,32.1,4.5,714.4,37.0,67.4,7.76
Rice,Laterite,123.3,66.5,148.6,8.67,2321.4,26.0,29.1,5.04
Rice,Sandy,37.3,32.0,168.3,5.66,847.5,17.1,68.6,6.65
Rice,Alluvial,161.6,5.7,70.0,5.99,1389.7,44.8,47.7,7.18
Rice,Alluvial,98.8,138.2,119.5,4.16,2290.6,17.9,66.2,6.08
Rice,Clay,128.3,6.9,134.4,4.89,2406.6,13.9,53.2,3.4
Rice,Black,109.3,31.7,63.4,5.55,1053.6,25.1,84.0,14.79
Rice,Loamy,12.1,73.4,115.1,4.33,1961.3,26.1,62.0,2.95
Rice,Black,98.8,77.1,154.2,4.51,902.5,11.0,80.3,7.11
Rice,Alluvial,84.7,8.7,35.4,7.58,1681.4,9.1,37.8,7.17
Rice,Laterite,136.0,7.9,25.3,8.0,528.5,34.1,39.1,4.37
Rice,Red,122.6,122.0,192.7,8.72,438.6,24.3,45.9,2.7
Rice,Alluvial,7.5,17.4,45.5,4.13,535.4,31.3,53.7,5.3
Rice,Alluvial,75.8,10.0,167.0,5.73,1957.2,22.5,88.9,6.49
Rice,Clay,189.9,115.7,32.3,8.34,1269.8,43.8,84.0,6.1
Rice,Red,149.6,106.3,83.5,5.09,1648.1,24.9,30.6,5.73
Rice,Sandy,38.5,44.5,8.6,8.57,382.6,31.1,41.9,6.45
Rice,Alluvial,145.4,20.5,32.3,5.32,739.6,37.3,40.1,10.49
Rice,Sandy,134.7,30.4,183.3,6.09,1019.5,28.8,23.8,5.75
Rice,Clay,22.6,116.8,18.3,8.19,1149.3,44.6,77.7,4.22
Rice,Clay,190.1,62.5,191.0,4.68,1261.0,18.8,63.2,7.82
Rice,Loamy,101.8,91.5,70.2,7.85,355.8,11.0,78.3,7.24
Rice,Loamy,142.5,91.8,94.6,4.38,286.6,8.1,97.4,6.21
Rice,Loamy,31.7,142.8,92.0,4.93,1400.6,42.9,78.6,4.89
Rice,Sandy,153.0,110.0,129.3,8.9,2268.1,33.9,75.5,3.35
Rice,Alluvial,119.7,149.9,113.4,6.37,850.9,12.8,78.5,5.81
Rice,Clay,185.3,145.8,189.1,6.37,2168.9,41.8,45.5,1.8
Rice,Black,98.8,133.3,108.4,6.21,1070.8,30.9,84.3,7.55
Rice,Black,159.2,51.2,127.0,8.43,1578.1,17.3,22.0,5.21
Rice,Clay,18.7,6.4,15.3,4.44,190.2,27.2,66.5,5.4
Rice,Black,196.9,116.4,86.5,6.11,1870.2,17.6,28.8,2.53
Rice,Black,144.5,90.4,59.1,8.55,208.2,12.4,51.3,4.41
Rice,Black,47.6,142.7,158.3,4.45,1102.2,43.2,95.6,6.77
Rice,Loamy,150.0,14.4,83.3,8.19,653.4,41.2,29.6,4.82
Rice,Clay,39.4,37.0,41.4,7.9,940.3,10.3,97.5,11.91
Rice,Red,199.3,135.1,95.4,7.11,1894.9,9.4,91.6,2.72
Rice,Sandy,22.8,132.2,56.8,4.65,2233.0,46.2,89.0,4.24
Rice,Sandy,148.4,45.8,54.3,4.03,1769.7,10.0,62.6,8.88
Rice,Sandy,47.9,104.1,19.8,8.26,1288.4,27.2,67.4,5.03
Rice,Alluvial,111.0,130.4,148.1,6.61,2183.6,17.8,32.6,5.65
Rice,Loamy,70.1,39.6,186.4,4.53,1777.6,15.6,90.5,8.09
Rice,Laterite,166.0,23.7,70.3,7.72,485.8,40.7,86.6,6.89
Rice,Sandy,55.4,33.0,21.4,5.63,1443.6,12.6,50.1,6.13
Rice,Laterite,110.5,144.6,71.7,7.16,2336.9,12.1,95.0,3.96
Rice,Black,18.2,48.6,143.1,4.34,1497.2,21.8,69.7,5.79
Rice,Sandy,79.8,14.5,165.2,5.86,2065.1,18.1,20.1,3.85
Rice,Alluvial,58.4,149.6,88.1,6.26,492.7,39.8,75.5,7.82
Rice,Clay,174.3,144.7,11.1,7.66,2282.9,42.3,97.2,5.78
Rice,Clay,58.5,147.7,84.8,8.47,651.9,16.5,22.5,2.81
Rice,Laterite,96.9,83.8,36.1,5.02,318.8,14.1,56.3,8.19
Rice,Alluvial,153.4,95.8,30.6,4.16,2310.0,32.7,83.7,7.67
Rice,Loamy,123.4,40.9,113.9,5.13,486.0,34.1,46.1,7.72
Rice,Alluvial,160.5,50.0,93.8,4.06,273.9,23.7,58.4,6.33
Rice,Sandy,152.6,143.1,182.0,7.62,1898.0,13.8,28.2,3.25
Rice,Red,32.8,77.3,125.5,7.51,1443.2,8.4,46.1,2.73
Rice,Sandy,21.1,124.6,74.8,5.61,2445.9,16.0,75.5,3.48
Rice,Laterite,44.0,29.3,25.4,7.18,1795.5,9.3,94.9,6.04
Rice,Alluvial,187.4,142.4,126.9,7.92,1569.4,27.4,72.9,4.4
Rice,Black,121.5,118.7,98.8,4.2,493.6,25.5,78.0,7.63
Rice,Loamy,175.0,36.8,195.3,5.68,537.1,39.6,72.7,7.9
Rice,Clay,36.5,8.0,132.4,5.66,1401.9,27.7,26.5,3.02
Rice,Red,11.0,42.4,95.2,8.34,1845.2,37.7,54.0,4.64
Rice,Black,148.4,116.3,103.4,6.72,1333.6,31.5,22.4,6.81
Rice,Laterite,180.6,66.1,59.0,6.96,2289.7,16.4,69.8,5.74
Rice,Sandy,148.0,24.1,144.6,8.55,531.2,17.5,97.7,4.28
Rice,Sandy,90.2,19.1,84.0,6.96,1490.6,34.5,27.6,6.05
Rice,Loamy,81.3,145.6,55.3,7.28,880.5,38.9,30.5,7.21
Rice,Clay,177.3,69.1,69.5,6.24,1706.5,13.8,56.0,10.81
Rice,Clay,190.0,41.6,75.1,5.9,1553.3,22.3,62.7,13.51
Rice,Black,173.5,85.9,110.3,4.17,2468.1,12.9,38.5,4.71
Rice,Alluvial,12.7,22.7,93.2,8.67,858.8,28.3,23.3,5.47
Rice,Loamy,118.1,41.9,106.7,5.71,1377.4,13.0,30.6,8.98
Rice,Black,142.4,34.3,136.3,8.85,325.4,34.9,55.5,4.71
Rice,Alluvial,134.0,146.9,78.0,4.09,686.0,41.2,89.2,7.49
Rice,Loamy,10.9,140.0,139.5,7.38,617.6,34.4,51.5,2.17
Rice,Black,36.1,92.7,67.0,8.33,2484.0,38.1,27.2,4.9
Rice,Laterite,149.0,132.4,83.8,5.64,1702.2,40.3,81.0,5.21
Rice,Clay,78.3,48.0,131.6,5.64,1612.5,32.4,65.1,12.5
Rice,Clay,80.8,70.1,51.3,5.87,645.4,10.9,68.3,13.62
Rice,Red,102.6,83.6,190.5,8.24,2294.2,40.6,28.7,5.56
Rice,Sandy,82.8,89.1,109.1,7.04,1935.7,40.5,77.4,6.5
Rice,Loamy,132.7,60.1,43.4,6.4,566.9,14.7,69.4,13.25
Rice,Sandy,60.6,49.6,161.6,6.7,847.1,32.4,77.3,6.02
Rice,Loamy,106.9,22.9,172.6,8.0,543.0,19.8,83.5,4.79
Rice,Sandy,55.0,144.6,99.3,8.03,1420.5,9.7,70.7,3.83
Rice,Red,105.5,91.1,159.8,7.23,519.5,22.4,92.5,6.2
Rice,Loamy,51.2,118.2,58.6,8.11,1117.0,34.7,27.6,5.53
Rice,Alluvial,34.8,39.1,174.5,6.36,1384.9,15.1,45.0,9.72
Rice,Clay,123.4,84.3,50.2,5.95,1526.7,27.9,99.0,15.85
Rice,Clay,91.3,69.6,146.3,4.08,918.6,40.7,68.3,7.42
Rice,Red,117.8,44.8,20.5,4.43,2246.1,15.7,45.9,6.16
Rice,Black,91.3,125.6,135.6,4.35,1636.4,18.8,67.4,3.58
Rice,Clay,108.9,52.0,69.9,7.35,2485.9,34.5,64.6,11.6
Rice,Red,114.6,143.9,39.2,7.45,582.2,29.4,27.7,7.49
Rice,Loamy,165.3,5.2,63.7,8.91,1239.7,23.3,29.6,7.72
Rice,Loamy,169.2,80.5,126.6,4.45,1912.6,13.1,86.1,6.55
Rice,Red,36.1,14.2,27.9,5.14,920.0,23.2,47.7,6.47
Rice,Clay,82.4,69.8,122.1,6.58,2306.5,27.9,99.4,6.23
Rice,Sandy,81.3,77.7,82.4,6.7,1607.1,35.0,62.6,8.12
Rice,Laterite,64.4,16.7,83.6,4.87,1767.9,21.8,98.0,7.83
Rice,Alluvial,165.4,24.2,173.1,8.61,1268.9,32.3,81.2,7.71
Rice,Loamy,165.9,101.6,28.7,6.39,1314.7,17.3,26.4,5.47
Rice,Black,193.3,67.7,65.8,6.53,1154.8,12.2,71.3,10.32
Rice,Black,76.1,61.0,115.1,4.96,608.2,27.4,80.3,7.0
Rice,Laterite,140.5,147.6,51.6,4.71,391.3,20.1,28.1,3.75
Rice,Black,128.5,38.2,50.4,5.1,517.0,34.2,87.8,12.63
Rice,Alluvial,30.5,133.6,92.7,4.97,982.6,24.6,86.2,8.03
Rice,Red,53.5,24.4,86.6,7.95,1497.2,35.2,35.2,7.36
Rice,Sandy,47.0,6.8,52.0,8.88,2023.7,46.4,59.0,4.39
Rice,Laterite,102.4,43.6,34.1,4.64,2175.2,17.7,72.1,8.44
Rice,Clay,78.3,62.2,94.6,7.93,2241.0,46.2,83.0,10.17
Rice,Black,19.9,45.5,186.4,5.27,1974.8,41.0,59.6,3.8
Rice,Clay,92.8,37.9,178.4,6.25,2217.9,12.2,99.1,6.56
Rice,Loamy,150.5,100.6,161.4,4.53,185.4,28.3,51.0,4.06
Rice,Laterite,62.8,55.7,156.1,7.31,544.5,15.0,27.9,5.49
Rice,Alluvial,9.1,16.9,193.7,5.48,1946.1,33.0,50.6,5.62
Rice,Alluvial,7.0,42.0,55.8,4.35,2403.6,27.1,91.7,8.14
Rice,Clay,196.1,92.3,118.6,7.74,2048.2,34.3,30.2,3.67
Rice,Laterite,26.6,91.8,23.5,5.88,1420.2,23.5,33.1,5.86
Rice,Black,43.5,133.6,130.9,5.43,2058.3,42.5,87.7,3.5
Rice,Loamy,111.1,97.2,48.1,8.89,1895.7,30.3,34.4,8.46
Rice,Red,197.0,140.9,13.4,4.82,416.1,37.0,85.4,2.98
Rice,Laterite,100.2,26.8,71.8,6.07,1919.6,37.7,69.0,9.64
Rice,Loamy,153.4,28.2,95.0,4.05,692.0,37.1,99.3,6.97
Rice,Clay,83.3,121.0,44.8,6.78,1859.4,32.6,35.0,9.67
Rice,Black,107.2,128.0,168.8,8.16,126.5,38.0,80.7,2.59
Rice,Black,68.8,26.6,64.6,8.38,2491.2,22.7,55.9,8.81
Rice,Clay,31.9,101.1,5.4,4.89,169.8,14.7,34.5,3.5
Rice,Sandy,23.1,90.3,98.8,7.21,255.6,31.2,64.9,6.2
Rice,Alluvial,121.9,92.3,9.5,5.61,1627.6,14.0,75.6,10.7
Rice,Black,158.1,107.6,158.8,6.59,1156.5,13.9,46.3,3.47
Rice,Black,17.2,121.2,154.5,7.67,818.7,14.9,71.0,3.01
Rice,Black,158.2,22.2,84.9,8.2,1021.2,30.9,67.0,8.41
Rice,Alluvial,37.2,106.5,119.2,6.93,1774.4,45.2,82.6,3.77
Rice,Clay,55.6,67.3,175.2,8.21,546.6,40.1,56.7,4.59
Rice,Black,14.7,136.1,182.3,7.9,116.9,10.3,38.0,1.8
Rice,Black,31.4,113.9,133.1,8.78,265.5,10.3,42.6,1.8
Rice,Black,158.5,146.4,77.4,6.14,2127.5,18.7,32.5,3.87
Rice,Black,11.6,14.1,181.8,4.7,1377.8,24.4,47.8,4.41
Rice,Laterite,177.0,62.0,166.4,7.94,1598.6,27.8,98.4,6.0
Rice,Sandy,132.6,33.7,115.2,6.32,2432.8,32.3,48.0,4.13
Rice,Laterite,138.3,84.0,196.2,5.14,1069.5,29.7,83.3,5.66
Rice,Loamy,111.0,16.9,94.4,6.42,497.9,45.8,88.0,6.86
Rice,Clay,131.9,84.1,17.1,6.56,2035.4,26.4,24.2,10.03
Rice,Laterite,102.0,54.3,175.1,6.72,1920.2,38.2,21.4,5.47
Rice,Black,174.8,39.6,93.0,8.92,1952.8,9.1,25.2,3.62
Rice,Red,72.0,46.0,81.2,7.99,992.6,26.1,51.8,10.08
Rice,Clay,44.7,80.9,61.0,7.96,1486.2,33.4,83.8,11.19
Rice,Laterite,43.2,135.1,106.4,6.24,1438.8,14.6,69.1,5.14
Rice,Clay,196.8,25.4,44.4,4.92,2245.6,34.2,32.2,6.9
Rice,Black,160.7,145.3,172.1,4.59,1875.4,20.8,99.1,2.93
Rice,Red,128.8,29.1,177.0,6.14,489.4,8.5,64.8,4.57
Rice,Loamy,10.7,124.3,45.9,5.9,2436.3,21.5,43.7,5.01
Rice,Loamy,74.8,76.7,166.5,5.68,517.0,36.5,86.1,8.36
Rice,Red,145.2,65.9,181.5,7.7,559.0,32.6,54.8,7.49
Rice,Black,96.9,147.0,128.7,4.63,1722.8,21.0,74.9,5.94
Rice,Black,137.9,29.2,132.8,8.96,274.4,11.1,47.2,3.21
Rice,Laterite,46.5,9.8,64.3,7.27,2351.9,42.8,81.3,5.69
Rice,Clay,16.5,135.3,131.9,8.37,100.5,14.8,51.2,1.8
Rice,Sandy,111.6,60.2,195.5,4.55,1114.1,9.7,79.2,5.15
Rice,Alluvial,193.4,23.5,143.0,8.86,2082.5,36.0,87.2,5.42
Rice,Loamy,64.4,125.3,59.9,8.36,370.2,36.1,63.3,6.5
Rice,Loamy,52.2,6.8,96.4,5.51,1536.1,19.9,44.0,7.81
Rice,Loamy,197.9,95.8,108.6,8.19,784.7,25.2,41.4,6.99
Rice,Red,171.9,80.6,17.4,8.16,1537.5,12.6,27.5,5.03
Rice,Loamy,17.6,143.6,9.9,7.47,297.3,44.4,57.2,3.66
Rice,Laterite,122.4,134.4,91.5,7.04,1615.1,31.7,76.2,6.44
Rice,Black,50.7,119.1,194.3,5.31,751.8,26.9,98.7,2.61
Rice,Laterite,84.4,134.3,5.6,4.2,1549.8,44.3,39.1,1.8
Rice,Sandy,99.0,33.4,124.1,5.4,596.8,28.7,20.4,2.68
Rice,Red,14.7,125.8,169.6,5.42,1210.8,25.5,37.5,2.39
Rice,Loamy,82.4,17.6,125.3,4.57,928.5,28.3,89.9,7.83
Rice,Sandy,136.7,11.5,92.9,8.65,496.5,23.6,78.4,5.35
Rice,Sandy,123.5,49.9,165.6,8.78,2070.9,8.1,70.9,5.28
Rice,Laterite,144.9,125.3,12.9,8.36,716.1,34.6,84.0,3.58
Rice,Laterite,86.7,113.9,18.8,4.4,951.5,45.7,73.5,5.76
Rice,Loamy,131.1,133.8,121.7,6.51,433.3,12.6,32.3,3.84
Rice,Sandy,181.0,14.6,109.1,4.71,128.1,24.9,43.6,1.8
Rice,Loamy,21.5,62.9,182.5,8.04,618.5,26.7,85.3,5.83
Rice,Clay,88.8,102.6,58.7,5.53,1993.6,25.9,83.9,11.31
Rice,Clay,92.8,89.0,153.1,4.49,2235.2,8.5,49.6,4.58
Rice,Laterite,104.8,29.0,130.9,4.22,1928.6,45.9,47.2,4.03
Rice,Alluvial,130.9,97.4,71.4,4.36,1083.1,20.4,74.2,10.38
Rice,Black,118.1,86.2,25.5,4.84,2432.9,17.1,98.2,9.11
Rice,Clay,193.0,60.7,12.6,4.15,1031.2,14.4,21.9,5.68
Rice,Red,30.4,126.1,77.2,5.87,1237.6,25.8,99.6,7.77
Rice,Loamy,196.9,46.8,192.4,5.95,1025.2,21.6,63.3,8.27
Rice,Alluvial,37.8,40.8,168.5,5.78,2084.4,36.4,34.2,4.8
Rice,Sandy,71.8,44.2,193.5,6.79,933.5,31.2,31.1,8.27
Rice,Clay,45.4,118.4,148.2,5.5,882.0,39.7,56.9,3.59
Rice,Laterite,82.1,10.7,97.7,6.72,646.6,46.6,92.8,5.54
Rice,Black,12.4,113.1,112.1,4.29,1733.8,26.7,22.8,5.1
Rice,Red,34.0,72.1,196.3,6.42,2172.5,31.5,50.0,3.64
Rice,Laterite,80.4,79.1,101.0,6.89,2177.4,47.2,52.6,4.54
Rice,Clay,122.4,90.8,162.3,6.38,2490.7,10.4,20.3,2.16
Rice,Clay,65.8,42.1,11.0,8.86,629.8,37.4,81.0,9.87
Rice,Red,139.1,109.8,140.0,4.67,818.5,22.3,84.4,3.93
Rice,Loamy,159.7,148.6,44.1,8.97,315.5,8.1,23.5,2.5
Rice,Black,167.7,112.4,32.9,7.77,1945.4,34.3,81.3,7.28
Rice,Laterite,100.1,16.3,84.5,6.04,258.4,22.0,28.9,6.22
Rice,Black,117.5,106.2,6.2,4.5,2185.5,35.3,29.0,3.79
Rice,Red,14.8,15.6,83.6,5.48,657.7,19.2,84.3,6.13
Rice,Red,34.7,43.6,9.3,6.92,2121.4,30.0,37.5,7.21
Rice,Laterite,178.3,77.9,92.6,6.93,1599.5,10.9,74.6,5.47
Rice,Red,95.3,39.0,64.1,5.45,1451.9,12.8,93.3,11.21
Rice,Laterite,60.4,24.4,127.8,4.27,1896.7,20.7,20.0,5.61
Rice,Alluvial,157.7,108.7,120.7,8.48,1499.8,26.7,47.2,5.83
Rice,Alluvial,66.1,119.4,178.9,6.17,2283.9,23.1,97.1,4.08
Rice,Sandy,27.6,11.1,115.1,8.65,2126.2,35.0,31.1,3.09
Rice,Sandy,193.4,115.4,190.4,7.51,815.3,12.2,82.5,2.32
Rice,Black,199.9,20.2,102.2,5.93,2178.0,27.0,28.9,6.06
Rice,Loamy,15.2,116.3,86.2,8.11,2140.8,16.5,72.6,5.18
Rice,Clay,147.4,98.9,160.3,7.77,186.3,23.8,94.5,5.23
Rice,Red,130.7,62.3,144.1,5.0,2236.5,19.5,49.4,4.98
Rice,Loamy,165.5,118.4,111.0,4.5,1751.3,17.7,92.9,5.69
Rice,Red,85.7,76.5,83.8,6.65,1528.3,8.4,57.1,8.83
Rice,Black,13.1,62.7,153.7,6.27,741.4,16.8,30.5,4.49
Rice,Alluvial,155.2,122.0,28.4,5.33,142.1,19.7,81.9,7.35
Rice,Alluvial,48.5,98.1,116.3,6.84,1691.2,29.9,90.3,8.17
Rice,Loamy,123.2,47.2,45.4,4.76,2258.7,36.4,95.0,15.37
Rice,Alluvial,99.4,113.4,97.4,4.29,2398.7,45.7,82.8,5.78
Rice,Laterite,114.5,117.7,45.0,7.63,1587.4,43.8,87.8,7.14
Rice,Clay,117.8,26.3,163.2,7.18,1031.6,35.0,40.8,8.5
Rice,Red,96.6,134.1,143.0,4.31,453.5,8.3,70.5,2.67
Rice,Clay,13.7,65.3,63.9,7.81,950.2,46.0,97.0,9.59
Rice,Red,94.6,84.3,89.4,4.22,497.8,25.8,36.7,6.27
Rice,Clay,136.5,24.9,199.0,6.64,1040.5,34.4,28.7,6.84
Rice,Clay,196.3,87.6,55.6,6.18,1524.5,10.9,69.8,12.11
Rice,Alluvial,7.8,125.3,147.8,5.78,1775.9,23.8,96.2,4.18
Rice,Alluvial,98.0,109.2,53.2,7.2,1699.8,14.5,65.2,11.07
Rice,Red,171.8,92.4,167.9,7.92,1004.8,30.1,84.4,5.5
Rice,Clay,54.5,40.6,83.5,8.47,101.1,44.1,32.3,3.77
Rice,Laterite,184.3,149.0,13.8,7.81,992.1,23.7,80.3,2.35
Rice,Alluvial,198.5,61.0,116.9,6.08,2133.5,44.1,90.2,7.85
Rice,Black,24.9,78.4,48.1,4.19,186.4,15.0,89.3,3.94
Rice,Clay,88.4,52.3,168.7,4.72,1132.2,44.2,87.7,11.71
Rice,Sandy,86.8,118.2,97.9,6.49,591.2,31.6,34.9,5.2
Rice,Black,129.0,57.8,62.6,8.4,1204.0,11.8,86.1,11.22
Rice,Laterite,69.8,105.6,155.4,7.27,463.8,43.0,63.1,2.85
Rice,Sandy,81.4,84.3,108.7,6.95,247.2,22.5,77.9,3.19
Rice,Laterite,44.7,6.5,90.3,8.41,224.6,15.6,44.8,3.87
Rice,Loamy,170.4,66.3,64.1,5.63,1810.3,40.7,34.5,11.16
Rice,Red,70.7,149.9,84.1,5.1,1930.0,29.7,32.0,3.4
Rice,Alluvial,143.3,29.3,157.2,6.92,2385.3,9.7,41.2,2.78
Rice,Black,190.1,96.7,30.3,6.8,1973.8,36.3,33.8,5.69
Rice,Alluvial,141.0,108.6,95.0,8.6,1767.0,37.2,88.9,8.09
Rice,Loamy,11.0,12.5,32.7,5.07,1696.4,14.3,29.5,5.94
Rice,Sandy,189.7,77.0,79.2,4.82,1986.9,37.4,50.7,6.87
Rice,Clay,157.5,23.0,160.5,7.08,2123.9,11.9,64.7,7.65
Rice,Loamy,193.6,12.5,103.4,7.59,2170.3,15.2,84.0,4.94
Rice,Clay,190.7,37.9,176.5,8.04,1725.2,33.0,45.3,6.3
