crop,market,state,price_per_quintal,min_price,max_price,date,demand_level
Jute,Kolkata Market,West Bengal,4500,3800,5500,2025-01,Medium
Sesame,Rajkot Market,Gujarat,12000,10000,15000,2025-01,High
Sunflower,Davangere Market,Karnataka,5500,4800,6500,2025-01,Medium
Rubber,Kottayam Market,Kerala,15000,12000,19000,2025-01,Medium
Arecanut,Shimoga Market,Karnataka,42000,35000,52000,2025-01,High
Aloe Vera,Jaipur Market,Rajasthan,3000,2000,5000,2025-01,High
Moringa,Coimbatore Market,Tamil Nadu,15000,10000,22000,2025-01,High
Amla,Lucknow Market,Uttar Pradesh,2500,1800,4000,2025-01,Medium
Tamarind,Hyderabad Market,Telangana,6000,4500,8500,2025-01,Medium
Dragon Fruit,Pune Market,Maharashtra,20000,15000,30000,2025-01,Very High
Strawberry,Mahabaleshwar Market,Maharashtra,25000,18000,40000,2025-01,High
Flowers,Bangalore Flower Market,Karnataka,8000,5000,15000,2025-01,High
Neem,Jodhpur Market,Rajasthan,1500,1000,2500,2025-01,Medium
Bamboo,Guwahati Market,Assam,2000,1500,3000,2025-01,Medium
Silk,Ramanagaram Market,Karnataka,350000,250000,500000,2025-01,High
Fish,Visakhapatnam Market,Andhra Pradesh,15000,10000,25000,2025-01,Very High
Prawn,Visakhapatnam Market,Andhra Pradesh,45000,30000,80000,2025-01,Very High
Saffron,Srinagar Market,Jammu Kashmir,250000,200000,350000,2025-01,Very High
Vanilla,Wayanad Market,Kerala,50000,35000,80000,2025-01,Very High
Jackfruit,Thrissur Market,Kerala,2500,1500,4500,2025-01,Medium
Date,Barmer Market,Rajasthan,8000,5000,12000,2025-01,Medium
Walnut,Srinagar Market,Jammu Kashmir,60000,45000,80000,2025-01,High
Almond,Srinagar Market,Jammu Kashmir,70000,55000,95000,2025-01,High
Kiwi,Shimla Market,Himachal Pradesh,15000,10000,25000,2025-01,High
Pineapple,Guwahati Market,Assam,3000,2000,5000,2025-01,Medium
Watermelon,Bangalore Market,Karnataka,800,500,1500,2025-01,Medium
Lemon,Vijayawada Market,Andhra Pradesh,4000,2500,6500,2025-01,High
Fig,Pune Market,Maharashtra,12000,8000,20000,2025-01,High
Sapota,Valsad Market,Gujarat,3000,2000,5000,2025-01,Medium
Spirulina,Chennai Market,Tamil Nadu,120000,80000,180000,2025-01,High
Ashwagandha,Neemuch Market,Madhya Pradesh,35000,25000,50000,2025-01,Very High
Stevia,Pune Market,Maharashtra,80000,60000,120000,2025-01,High
Cinnamon,Cochin Market,Kerala,25000,18000,35000,2025-01,High
Avocado,Bangalore Market,Karnataka,30000,20000,50000,2025-01,Very High
