crop_name,category,state,annual_production_tons,area_hectares,yield_per_hectare,season,soil_types,water_requirement,growth_period_days
Papaya,Fruit,Andhra Pradesh,900000,25000,36000,Summer,"Red Soil,Loamy",Medium,270
Guava,Fruit,Uttar Pradesh,1100000,50000,22000,Summer,"Alluvial,Loamy",Medium,365
Guava,Fruit,Madhya Pradesh,800000,35000,22857,Summer,"Black Soil,Alluvial",Medium,365
Grapes,Fruit,Maharashtra,2800000,120000,23333,Summer,"Black Soil,Red Soil",High,365
Grapes,Fruit,Karnataka,500000,25000,20000,Summer,"Red Soil,Loamy",High,365
Orange,Fruit,Maharashtra,1200000,180000,6667,Summer,"Black Soil,Red Soil",Medium,365
Orange,Fruit,Madhya Pradesh,800000,120000,6667,Summer,"Black Soil,Alluvial",Medium,365
Apple,Fruit,Jammu Kashmir,1900000,160000,11875,Summer,"Loamy,Sandy",Medium,365
Apple,Fruit,Himachal Pradesh,800000,110000,7273,Summer,"Loamy,Sandy",Medium,365
Pomegranate,Fruit,Maharashtra,2800000,230000,12174,Summer,"Red Soil,Black Soil",Low,365
Pomegranate,Fruit,Karnataka,500000,50000,10000,Summer,"Red Soil,Sandy",Low,365
Lemon,Fruit,Andhra Pradesh,1500000,100000,15000,Summer,"Red Soil,Loamy,Sandy",Medium,365
Lemon,Fruit,Maharashtra,800000,60000,13333,Summer,"Black Soil,Red Soil",Medium,365
Watermelon,Fruit,Karnataka,1800000,80000,22500,Summer,"Sandy,Loamy,Red Soil",Medium,85
Watermelon,Fruit,Uttar Pradesh,1200000,60000,20000,Summer,"Alluvial,Sandy",Medium,80
Tea,Plantation,Assam,680000,320000,2125,Kharif,"Loamy,Red Soil,Laterite",High,365
Tea,Plantation,West Bengal,280000,140000,2000,Kharif,"Loamy,Red Soil",High,365
Tea,Plantation,Tamil Nadu,180000,70000,2571,Kharif,"Red Soil,Loamy",High,365
Tea,Plantation,Kerala,65000,35000,1857,Kharif,"Red Soil,Loamy,Laterite",High,365
Coffee,Plantation,Karnataka,250000,230000,1087,Kharif,"Red Soil,Loamy,Laterite",High,365
Coffee,Plantation,Kerala,68000,85000,800,Kharif,"Red Soil,Loamy,Laterite",High,365
Coffee,Plantation,Tamil Nadu,18000,35000,514,Kharif,"Red Soil,Loamy",High,365
Rubber,Plantation,Kerala,550000,550000,1000,Kharif,"Laterite,Loamy,Red Soil",High,365
Rubber,Plantation,Tripura,85000,80000,1063,Kharif,"Loamy,Red Soil",High,365
Pulses,Legume,Madhya Pradesh,5200000,5000000,1040,Rabi,"Black Soil,Alluvial",Low,90
Pulses,Legume,Rajasthan,3800000,4200000,905,Rabi,"Sandy,Alluvial",Low,85
Pulses,Legume,Maharashtra,2500000,3800000,658,Rabi,"Black Soil,Red Soil",Low,90
Pulses,Legume,Uttar Pradesh,2200000,2400000,917,Rabi,"Alluvial,Loamy",Low,90
Pulses,Legume,Karnataka,1800000,2800000,643,Rabi,"Red Soil,Black Soil",Low,85
Chickpea,Legume,Madhya Pradesh,4500000,3200000,1406,Rabi,"Black Soil,Alluvial",Low,100
Chickpea,Legume,Rajasthan,2800000,2500000,1120,Rabi,"Sandy,Alluvial",Low,95
Lentil,Legume,Uttar Pradesh,1200000,1500000,800,Rabi,"Alluvial,Loamy",Low,110
Pigeon Pea,Legume,Maharashtra,1800000,3300000,545,Kharif,"Black Soil,Red Soil",Low,160
Green Gram,Legume,Rajasthan,1500000,2800000,536,Kharif,"Sandy,Alluvial",Low,65
Black Gram,Legume,Madhya Pradesh,900000,1800000,500,Kharif,"Black Soil,Alluvial",Low,75
Cashew,Nut,Kerala,85000,100000,850,Summer,"Red Soil,Laterite,Sandy",Low,365
Cashew,Nut,Maharashtra,250000,180000,1389,Summer,"Red Soil,Laterite",Low,365
Cashew,Nut,Andhra Pradesh,120000,180000,667,Summer,"Red Soil,Sandy",Low,365
Cashew,Nut,Goa,25000,55000,455,Summer,"Laterite,Sandy",Low,365
Arecanut,Nut,Karnataka,580000,230000,2522,Summer,"Red Soil,Loamy,Laterite",Medium,365
Arecanut,Nut,Kerala,120000,95000,1263,Summer,"Red Soil,Laterite",Medium,365
Almond,Nut,Jammu Kashmir,15000,30000,500,Summer,"Loamy,Sandy",Medium,365
Walnut,Nut,Jammu Kashmir,32000,90000,356,Summer,"Loamy,Sandy",Medium,365
Honey,Apiculture,West Bengal,25000,0,0,Summer,"All",Low,365
Honey,Apiculture,Bihar,18000,0,0,Summer,"All",Low,365
Honey,Apiculture,Rajasthan,15000,0,0,Summer,"All",Low,365
Honey,Apiculture,Uttar Pradesh,22000,0,0,Summer,"All",Low,365
Honey,Apiculture,Karnataka,12000,0,0,Summer,"All",Low,365
Milk,Dairy,Uttar Pradesh,30500000,0,0,Summer,"All",Medium,365
Milk,Dairy,Rajasthan,23000000,0,0,Summer,"All",Medium,365
Milk,Dairy,Madhya Pradesh,15200000,0,0,Summer,"All",Medium,365
Milk,Dairy,Gujarat,14800000,0,0,Summer,"All",Medium,365
Milk,Dairy,Andhra Pradesh,14500000,0,0,Summer,"All",Medium,365
Milk,Dairy,Maharashtra,11800000,0,0,Summer,"All",Medium,365
Milk,Dairy,Punjab,12500000,0,0,Summer,"All",Medium,365
Milk,Dairy,Karnataka,8500000,0,0,Summer,"All",Medium,365
Milk,Dairy,Bihar,10200000,0,0,Summer,"All",Medium,365
Milk,Dairy,Tamil Nadu,8200000,0,0,Summer,"All",Medium,365
Mushroom,Specialty,All India,180000,0,0,Summer,"All",Medium,45
Aloe Vera,Medicinal,Rajasthan,120000,15000,8000,Summer,"Sandy,Red Soil",Low,365
Aloe Vera,Medicinal,Gujarat,80000,10000,8000,Summer,"Sandy,Alluvial",Low,365
Bamboo,Specialty,Assam,4500000,2800000,1607,Kharif,"Alluvial,Loamy,Red Soil",Medium,365
Bamboo,Specialty,Madhya Pradesh,2800000,1500000,1867,Kharif,"Black Soil,Alluvial",Medium,365
Silk,Sericulture,Karnataka,9000,0,0,Summer,"All",Medium,365
Silk,Sericulture,Andhra Pradesh,4500,0,0,Summer,"All",Medium,365
Fish,Aquaculture,Andhra Pradesh,4200000,0,0,Summer,"All",High,365
Fish,Aquaculture,West Bengal,1900000,0,0,Summer,"All",High,365
Prawn,Aquaculture,Andhra Pradesh,800000,0,0,Summer,"All",High,365
Flowers,Floriculture,Karnataka,1200000,30000,40000,Summer,"Red Soil,Loamy",Medium,365
Flowers,Floriculture,Tamil Nadu,800000,25000,32000,Summer,"Red Soil,Sandy",Medium,365
Flowers,Floriculture,West Bengal,600000,18000,33333,Summer,"Alluvial,Loamy",Medium,365
Rose,Floriculture,Tamil Nadu,200000,5000,40000,Summer,"Red Soil,Sandy,Loamy",Medium,365
Jasmine,Floriculture,Tamil Nadu,150000,8000,18750,Summer,"Red Soil,Sandy",Medium,365
Marigold,Floriculture,Karnataka,180000,10000,18000,Summer,"Red Soil,Loamy,Sandy",Low,365
Neem,Medicinal,Rajasthan,250000,800000,313,Summer,"Sandy,All",Low,365
Ashwagandha,Medicinal,Madhya Pradesh,8000,20000,400,Rabi,"Sandy,Red Soil,Loamy",Low,150
Tulsi,Medicinal,Uttar Pradesh,12000,5000,2400,Kharif,"Alluvial,Loamy,Sandy",Low,90
Moringa,Specialty,Tamil Nadu,120000,15000,8000,Summer,"Red Soil,Sandy,Loamy",Low,365
Moringa,Specialty,Andhra Pradesh,85000,10000,8500,Summer,"Red Soil,Sandy",Low,365
Spirulina,Specialty,Tamil Nadu,5000,0,0,Summer,"All",Medium,30
Stevia,Specialty,Maharashtra,3000,2000,1500,Kharif,"Loamy,Sandy",Medium,120
Vanilla,Spice,Kerala,400,500,800,Kharif,"Loamy,Red Soil",High,365
Saffron,Spice,Jammu Kashmir,16,3800,4,Rabi,"Sandy,Loamy",Low,180
Cinnamon,Spice,Kerala,3500,2800,1250,Kharif,"Red Soil,Loamy,Laterite",High,365
Tamarind,Fruit,Andhra Pradesh,350000,200000,1750,Summer,"Red Soil,Black Soil",Low,365
Tamarind,Fruit,Tamil Nadu,250000,150000,1667,Summer,"Red Soil,Sandy",Low,365
Jackfruit,Fruit,Kerala,500000,98000,5102,Summer,"Loamy,Red Soil,Laterite",Medium,365
Jackfruit,Fruit,Karnataka,350000,85000,4118,Summer,"Red Soil,Loamy",Medium,365
Sapota,Fruit,Gujarat,800000,45000,17778,Summer,"Sandy,Loamy",Medium,365
Sapota,Fruit,Karnataka,500000,30000,16667,Summer,"Red Soil,Loamy",Medium,365
Litchi,Fruit,Bihar,300000,32000,9375,Summer,"Alluvial,Loamy",High,365
Litchi,Fruit,West Bengal,80000,10000,8000,Summer,"Alluvial,Loamy",High,365
Amla,Fruit,Uttar Pradesh,500000,95000,5263,Summer,"Alluvial,Loamy,Sandy",Low,365
Amla,Fruit,Rajasthan,200000,50000,4000,Summer,"Sandy,Alluvial",Low,365
Dragon Fruit,Specialty,Maharashtra,25000,5000,5000,Summer,"Sandy,Red Soil,Loamy",Low,365
Dragon Fruit,Specialty,Karnataka,15000,3000,5000,Summer,"Red Soil,Sandy",Low,365
Avocado,Fruit,Tamil Nadu,8000,2000,4000,Summer,"Loamy,Red Soil",Medium,365
Avocado,Fruit,Karnataka,5000,1500,3333,Summer,"Red Soil,Loamy",Medium,365
Strawberry,Fruit,Maharashtra,35000,4000,8750,Rabi,"Loamy,Sandy,Red Soil",Medium,120
Strawberry,Fruit,Himachal Pradesh,8000,1000,8000,Rabi,"Loamy,Sandy",Medium,120
Kiwi,Fruit,Himachal Pradesh,2000,600,3333,Summer,"Loamy,Sandy",Medium,365
Kiwi,Fruit,Arunachal Pradesh,1500,500,3000,Summer,"Loamy,Red Soil",High,365
Pineapple,Fruit,Assam,500000,25000,20000,Kharif,"Loamy,Sandy,Red Soil",High,365
Pineapple,Fruit,Meghalaya,300000,15000,20000,Kharif,"Loamy,Red Soil",High,365
Dates,Fruit,Rajasthan,30000,8000,3750,Summer,"Sandy",Low,365
Fig,Fruit,Maharashtra,15000,3000,5000,Summer,"Black Soil,Red Soil",Low,365
